Issue Type,Epic Name,Epic Link,Summary,Description,Priority,Status,Labels
Epic,Auth & Access Control,,Auth & Access Control,User/admin authentication and role-based access.,,,
Epic,Repair Intake & Tracking,,Repair Intake & Tracking,Customer device check-in and repair reference tracking.,,,
Epic,Job Status Workflow,,Job Status Workflow,Admin/technician booking status lifecycle and pricing.,,,
Epic,Parts & Inventory,,Parts & Inventory,Spare parts stock and usage-per-repair tracking.,,,
Epic,Customer Notifications,,Customer Notifications,Automated email/SMS alerts on status changes.,,,
Epic,Billing & Payments,,Billing & Payments,Order checkout and payment gateway integration.,,,
Epic,Product Catalog & Media,,Product Catalog & Media,Admin product management and Cloudinary image uploads.,,,
Epic,Deployment & DevOps,,Deployment & DevOps,"Hosting, environment config, and CI/deploy pipeline.",,,
Task,,Auth & Access Control,Add rate limiting to the login endpoint,"10 attempts per IP per 15 minutes on POST /api/auth/login to block brute-force credential attacks.",High,Done,security
Story,,Auth & Access Control,Define a distinct technician role separate from admin,"User model currently only has 'user'/'admin' roles. Technicians share the full admin account today — needs a scoped role and permission model.",Medium,To Do,access-control
Task,,Repair Intake & Tracking,Auto-generate unique booking reference with collision retry,"bookingRef generated from timestamp+random on booking creation; createBooking now retries up to 3x on the rare unique-index collision.",Medium,Done,tracking
Task,,Repair Intake & Tracking,Encrypt device unlock password at rest,"devicePassword was stored plaintext and returned unmasked by the API. Now AES-256-GCM encrypted, excluded from default query responses (select:false), with an explicit admin-only reveal endpoint.",Highest,Done,security
Story,,Repair Intake & Tracking,Add device-password reveal control to admin booking detail UI,"Backend GET /api/admin/bookings/:id/device-password already exists; no frontend button/UI wired to it yet for technicians who need it to unlock the device.",Medium,To Do,ui
Task,,Job Status Workflow,Consolidate duplicate booking-status update logic,"bookingController and adminController each had their own status-update implementation that had drifted (inconsistent guards). Extracted to a shared applyStatusChange helper used by both.",High,Done,tech-debt
Bug,,Job Status Workflow,Fix in-progress/in_progress status value mismatch,"Frontend dropdown/filter/badge used 'in-progress' (hyphen) while the backend enum uses 'in_progress' (underscore); also missing the 'waiting_for_parts' status entirely. Caused a 400 on every status update to that state.",Highest,Done,bug
Bug,,Job Status Workflow,Allow editing repair price after a booking is marked completed,"The closed-booking guard blocked ALL edits once a booking was completed/cancelled, including price corrections — but there was no other way to set the final cost. Guard now only blocks changing to a different status, not same-status cost/note edits.",Highest,Done,bug
Story,,Job Status Workflow,Track assigned technician per booking,"technicianName field exists on the Booking model but there's no dedicated UI to assign/reassign a technician on a job.",Low,To Do,ui
Task,,Parts & Inventory,Add parts-used tracking on bookings with inventory deduction,"New partsUsed subdocument on Booking; admin can deduct/undo a part against a booking from the bookings detail modal.",High,Done,inventory
Bug,,Parts & Inventory,Fix inventory race condition on concurrent part deduction,"Read-then-save stock check allowed two simultaneous requests to both pass and over-deduct below zero. Replaced with an atomic findOneAndUpdate guarded by quantity >= requested.",Highest,Done,bug
Bug,,Parts & Inventory,Auto-restock inventory when a booking with used parts is cancelled,"Parts already deducted for a booking were never returned to stock if that booking was later cancelled, silently drifting inventory from the shelf. Cancel flow now restocks automatically.",High,Done,bug
Story,,Parts & Inventory,Low-stock alert escalation,"isLowStock flag exists and surfaces in the admin list, but there's no proactive notification/escalation when a part crosses threshold.",Medium,To Do,inventory
Story,,Customer Notifications,Wire email notifications to booking status changes,"nodemailer is an installed dependency but not yet called anywhere — status updates don't currently notify the customer.",Highest,To Do,notifications
Story,,Customer Notifications,Select and integrate an SMS gateway,"No SMS provider integrated yet. Needs a vendor decision (e.g. Sparrow SMS / Aakash SMS for the Nepal market) before implementation.",High,To Do,notifications
Story,,Customer Notifications,Add notification delivery retry and failure logging,"Once email/SMS is wired, a status update must not silently succeed while the customer alert silently fails — needs retry + logging.",Medium,To Do,notifications
Story,,Billing & Payments,Implement eSewa payment callback verification,"Order model has an 'esewa' paymentMethod enum value but no server-side callback/signature verification is implemented — currently nothing prevents marking an order 'paid' without a verified transaction.",Highest,To Do,payments
Story,,Billing & Payments,Implement Khalti payment callback verification,"Same gap as eSewa — schema-ready, integration not implemented.",Highest,To Do,payments
Task,,Billing & Payments,Order checkout supports Cash on Delivery / eSewa / Khalti selection,"paymentMethod + paymentStatus lifecycle modeled on the Order schema.",Medium,Done,payments
Task,,Product Catalog & Media,Add Cloudinary image upload pipeline for products,"Admin can upload product images directly (multer + Cloudinary streaming upload) instead of pasting URLs manually; server-side MIME/size validation.",High,Done,media
Task,,Deployment & DevOps,Split frontend and backend into separate deployments,"Frontend on Vercel, backend on Render — resolved persistent 404s from trying to force a Next.js App Router + Express monorepo through a single legacy vercel.json builds config.",High,Done,devops
Bug,,Deployment & DevOps,Fix CORS allowlist blocking the production frontend origin,"CLIENT_URL env var mismatch caused the CORS origin check to reject the deployed frontend outright with no Access-Control-Allow-Origin header at all.",Highest,Done,bug
